Transaction,Category,Description
Concert ticket purchase,Entertainment,Concert ticket purchase
Bought a Udemy course,Education,Purchased a Udemy course
Movie ticket at AMC,Entertainment,Movie ticket at AMC
Train ticket to New York,Travel,Train ticket to New York
Dinner at an Italian restaurant,Food,Dinner at an Italian restaurant
Donation to charity,Miscellaneous,Donation to charity
Purchased textbooks,Education,Purchased textbooks
Ordered books on Amazon,Shopping,Ordered books on Amazon
Doctor consultation fee,Health,Doctor consultation fee
Paid electricity bill,Bills,Settled electricity bill
Gift for a friend,Miscellaneous,Gift for a friend
Water bill settlement,Bills,Water bill settlement
Booked a flight ticket,Travel,Reserved a flight ticket
Lottery ticket purchase,Miscellaneous,Lottery ticket purchase
Paid for online certification,Education,Settled for online certification
Bought clothes from H&M,Shopping,Purchased clothes from H&M
Paid for an Uber ride,Travel,Settled for an Uber ride
Bought a Netflix subscription,Entertainment,Purchased a Netflix subscription
Purchased a new phone,Shopping,Purchased a new phone
Internet bill payment,Bills,Internet bill payment
Gym membership renewal,Health,Gym membership renewal
Grocery shopping at Walmart,Food,Grocery shopping at Walmart
Bought coffee at Starbucks,Food,Purchased coffee at Starbucks
Bought medicines from pharmacy,Health,Purchased medicines from pharmacy
Salary credited,Income,Monthly salary credited to bank account
Attended live stand-up comedy,Entertainment,Attended live stand-up comedy - Entertainment expense
Sent money to a fundraising campaign,Donations,Sent money to a fundraising campaign - Donations expense
Personal loan repayment,Loans,Personal loan repayment - Loans expense
Cruise booking for summer holiday,Travel,Cruise booking for summer holiday - Travel expense
Earned money from stock market,Income,Earned money from stock market - Income expense
Car parking fee paid,Transport,Car parking fee paid - Transport expense
Bought smartwatch from Apple Store,Shopping,Bought smartwatch from Apple Store - Shopping expense
Cleared credit card dues,Loans,Cleared credit card dues - Loans expense
Monthly internet bill paid,Utilities,Monthly internet bill paid - Utilities expense
House rent paid via online transfer,Rent,House rent paid via online transfer - Rent expense
Signed up for a Coursera program,Education,Signed up for a Coursera program - Education expense
Paid landline bill,Utilities,Paid landline bill - Utilities expense
Paid monthly house rent,Rent,Paid monthly house rent - Rent expense
Received PayPal payment,Income,Received PayPal payment - Income expense
Lunch at Subway,Food,Lunch at Subway - Food expense
Recharged prepaid phone plan,Utilities,Recharged prepaid phone plan - Utilities expense
Side hustle earnings received,Income,Side hustle earnings received - Income expense
Purchased mutual funds,Investments,Purchased mutual funds - Investments expense
Bought medicines from pharmacy,Health & Fitness,Bought medicines from pharmacy - Health & Fitness expense
Bought furniture from IKEA,Shopping,Bought furniture from IKEA - Shopping expense
Invested in startup crowdfunding,Investments,Invested in startup crowdfunding - Investments expense
Sold an old laptop for cash,Income,Sold an old laptop for cash - Income expense
Doctor consultation fee,Health & Fitness,Doctor consultation fee - Health & Fitness expense
Apartment rental fee,Rent,Apartment rental fee - Rent expense
Bought corporate bonds,Investments,Bought corporate bonds - Investments expense
Filled fuel at Shell station,Transport,Filled fuel at Shell station - Transport expense
Paid for city tour package,Travel,Paid for city tour package - Travel expense
Booked hotel stay,Travel,Booked hotel stay - Travel expense
New handbag from Gucci,Shopping,New handbag from Gucci - Shopping expense
Paid for coaching classes,Education,Paid for coaching classes - Education expense
Bought subway ticket,Transport,Bought subway ticket - Transport expense
Waste disposal service fee,Utilities,Waste disposal service fee - Utilities expense
Rent payment for February,Rent,Rent payment for February - Rent expense
Invested in real estate property,Investments,Invested in real estate property - Investments expense
Coffee and snacks at Dunkin Donuts,Food,Coffee and snacks at Dunkin Donuts - Food expense
Downloaded new Xbox game,Entertainment,Downloaded new Xbox game - Entertainment expense
Paid student loan installment,Loans,Paid student loan installment - Loans expense
Bought gifts for anniversary,Shopping,Bought gifts for anniversary - Shopping expense
Paid for train travel,Transport,Paid for train travel - Transport expense
Opened a fixed deposit account,Investments,Opened a fixed deposit account - Investments expense
Car loan EMI deducted,Loans,Car loan EMI deducted - Loans expense
Annual health check-up,Health & Fitness,Annual health check-up - Health & Fitness expense
Paid donation to religious trust,Donations,Paid donation to religious trust - Donations expense
Booked flight tickets for vacation,Transport,Booked flight tickets for vacation - Transport expense
Bought educational books,Education,Bought educational books - Education expense
Invested in Tesla stocks,Investments,Invested in Tesla stocks - Investments expense
Signed up for marathon event,Health & Fitness,Signed up for marathon event - Health & Fitness expense
Gas bill for home heating,Utilities,Gas bill for home heating - Utilities expense
Medical aid donation,Donations,Medical aid donation - Donations expense
Bought gaming accessories,Entertainment,Bought gaming accessories - Entertainment expense
Purchased books from Barnes & Noble,Shopping,Purchased books from Barnes & Noble - Shopping expense
Gym membership renewal,Health & Fitness,Gym membership renewal - Health & Fitness expense
Got cashback reward from credit card,Income,Got cashback reward from credit card - Income expense
Ordered shoes from Nike,Shopping,Ordered shoes from Nike - Shopping expense
Subscribed to Disney+ Hotstar,Entertainment,Subscribed to Disney+ Hotstar - Entertainment expense
Purchased electronics on Flipkart,Shopping,Purchased electronics on Flipkart - Shopping expense
Brunch at a local café,Food,Brunch at a local café - Food expense
Education loan interest payment,Loans,Education loan interest payment - Loans expense
Paid electricity bill,Utilities,Paid electricity bill - Utilities expense
Paid for meal at Five Guys,Food,Paid for meal at Five Guys - Food expense
Home security service subscription,Utilities,Home security service subscription - Utilities expense
Purchased protein supplements,Health & Fitness,Purchased protein supplements - Health & Fitness expense
